"Ages","lx","dx","qx1000"
0,100000,101,1.00636691025887
1,99899,101,1.00709905678916
2,99799,101,1.0079092669278
3,99698,101,1.0088058639717
4,99598,101,1.00979805864762
5,99497,101,1.01089604372626
6,99396,101,1.01211109872279
7,99296,101,1.01345570575905
8,99195,101,1.014943677777
9,99095,101,1.01659030041991
10,98994,101,1.01841248903775
11,98893,101,1.0204289624289
12,98792,101,1.02266043510129
13,98691,101,1.02512983002673
14,98590,101,1.02786251407178
15,98489,102,1.03088655852134
16,98387,102,1.03423302736815
17,98285,102,1.03793629632606
18,98183,102,1.04203440583956
19,98081,103,1.04656945171041
20,97978,103,1.05158801734721
21,97875,103,1.05714165206974
22,97772,104,1.06328740037137
23,97668,105,1.07008838756343
24,97563,105,1.0776144678023
25,97458,106,1.08594294113677
26,97352,107,1.09515934691826
27,97246,107,1.10535834169532
28,97138,108,1.11664467057533
29,97030,110,1.12913424198847
30,96920,111,1.14295531684126
31,96809,112,1.15824982421023
32,96697,114,1.17517481701125
33,96584,115,1.19390408250004
34,96468,117,1.21462992402776
35,96351,119,1.23756513220764
36,96232,122,1.26294516556134
37,96110,124,1.2910305628248
38,95986,127,1.32210961142349
39,95859,130,1.35650129919753
40,95729,134,1.39455857929214
41,95596,137,1.43667198125474
42,95459,142,1.48327360482446
43,95317,146,1.53484153669421
44,95171,152,1.59190473470303
45,95019,157,1.65504842851265
46,94862,164,1.72492009087724
47,94698,171,1.80223603916914
48,94528,178,1.88778873292196
49,94349,187,1.9824548398422
50,94162,197,2.08720415007192
51,93966,207,2.20310942651027
52,93759,219,2.33135728777535
53,93540,231,2.47326022996606
54,93309,245,2.63026990382282
55,93063,261,2.8039917752432
56,92802,278,2.99620130943772
57,92524,297,3.20886183236395
58,92227,318,3.44414423749872
59,91910,340,3.70444872153417
60,91569,366,3.99242874923806
61,91204,393,4.31101746550542
62,90810,423,4.66345679153089
63,90387,457,5.05332946199597
64,89930,493,5.48459428110315
65,89437,533,5.96162489705361
66,88904,577,6.489252416946
67,88327,625,7.07281220677336
68,87702,677,7.71819524381338
69,87025,734,8.43190441070874
70,86291,796,9.22111614122761
71,85496,863,10.0937478461854
72,84633,936,11.0585315631674
73,83697,1015,12.1250942840927
74,82682,1100,13.3040454185349
75,81582,1192,14.6070718458701
76,80390,1290,16.0470409930774
77,79100,1395,17.6381123441138
78,77705,1507,19.3958577372718
79,76198,1626,21.3373907341028
80,74572,1751,23.4815052417273
81,72821,1882,25.8488234330752
82,70939,2019,28.4619528290771
83,68920,2160,31.345652174199
84,66759,2305,34.5270054418383
85,64454,2452,38.0356029376108
86,62003,2598,41.9037280139321
87,59405,2743,46.1665473550047
88,56662,2882,50.8623021232372
89,53780,3013,56.0324964620323
90,50767,3133,61.7220789123823
91,47633,3238,67.9796112103868
92,44395,3323,74.8574176819516
93,41072,3385,82.4117070377031
94,37687,3418,90.7026568025385
95,34269,3420,99.7944489095199
96,30849,3386,109.755243183003
97,27463,3314,120.657073588633
98,24149,3202,132.575650323039
99,20948,3050,145.590049171574
100,17898,2860,159.782268234598
101,15038,2635,175.236631310215
102,12403,2382,192.039017167299
103,10021,2107,210.275894931957
104,7914,1820,230.033148162229
105,6093,1532,251.394674236143
106,4562,1252,274.440751754612
107,3310,990,299.246177043025
108,2319,756,325.878181705671
109,1563,554,354.394156566916
110,1009,388,384.83922301464
