IDNUMBER	SALARY	LOGSAL	EDUC	SALBEGIN	LOGSALBEGIN	GENDER	MINORITY	JOBCAT
1	57000	10.9508065468	15	27000	10.203592145	1	0	3
2	40200	10.6016222746	16	18750	9.8389490314	1	0	1
3	21450	9.97347992436	12	12000	9.39266192877	0	0	1
4	21900	9.9942419158	8	13200	9.48797210857	0	0	1
5	45000	10.7144177688	15	21000	9.95227771671	1	0	1
6	32100	10.3766113091	15	13500	9.51044496443	1	0	1
7	36000	10.4912742174	15	18750	9.8389490314	1	0	1
8	21900	9.9942419158	12	9750	9.18502256399	0	0	1
9	27900	10.2363819678	15	12750	9.45328655059	0	0	1
10	24000	10.0858091093	12	13500	9.51044496443	0	0	1
11	30300	10.3189029915	16	16500	9.71111565989	0	0	1
12	28350	10.2523823092	8	12000	9.39266192877	1	1	1
13	27750	10.2309911192	15	14250	9.5645121857	1	1	1
14	35100	10.4659564095	15	16800	9.72913416539	0	1	1
15	27300	10.2146419812	12	13500	9.51044496443	1	0	1
16	40800	10.6164373604	12	15000	9.61580548008	1	0	1
17	46000	10.7363966755	15	14250	9.5645121857	1	0	1
18	103750	11.5497394381	16	27510	10.2223048539	1	0	3
19	42300	10.652542365	12	14250	9.5645121857	1	0	1
20	26250	10.175421268	12	11550	9.35444071595	0	0	1
21	38850	10.5674633558	16	15000	9.61580548008	0	0	1
22	21750	9.98736903652	12	12750	9.45328655059	1	1	1
23	24000	10.0858091093	15	11100	9.3147003873	0	1	1
24	16950	9.73802311281	12	9000	9.10497985632	0	1	1
25	21150	9.95939518447	15	9000	9.10497985632	0	1	1
26	31050	10.3433540874	15	12600	9.44145209294	1	0	1
27	60375	11.008330391	19	27480	10.2212137463	1	0	3
28	32550	10.3905326476	15	14250	9.5645121857	1	0	1
29	135000	11.8130300574	19	79980	11.2895318824	1	0	3
30	31200	10.3481733738	15	14250	9.5645121857	1	0	1
31	36150	10.4954322276	12	14250	9.5645121857	1	0	1
32	110625	11.6139013823	19	45000	10.7144177688	1	0	3
33	42000	10.6454248973	15	15000	9.61580548008	1	0	1
34	92000	11.429543856	19	39990	10.5963847018	1	0	3
35	81250	11.3052861002	17	30000	10.3089526606	1	0	3
36	31350	10.3529695461	8	11250	9.32812340763	0	0	1
37	29100	10.2784934532	12	13500	9.51044496443	1	1	1
38	31350	10.3529695461	15	15000	9.61580548008	1	1	1
39	36000	10.4912742174	16	15000	9.61580548008	1	1	1
40	19200	9.86266555802	15	9000	9.10497985632	0	1	1
